enzyme	cid
UGT94E2	66
UGT84C2	13
UGT84C2	66
UGT85B2	13
UGT85B2	66
UGT74H5	13
UGT74H5	66
UGT88C4	13
UGT88C4	66
UGT74H6	13
UGT74H6	66
UGT75E3	13
UGT75E3	66
UGT73B4	13
UGT73B4	66
UGT73C1	13
UGT73C1	66
OsCGT	13
OsCGT	66
ZmUGT/UGT708A6	13
ZmUGT/UGT708A6	66
FeCGTa/UGT708C1	13
FeCGTa/UGT708C1	66
FeCGTb/UGT708C2	13
FeCGTb/UGT708C2	66
GmCGT/UGT708D1	13
GmCGT/UGT708D1	66
GtUF6CGT1	13
GtUF6CGT1	66
MiCGT	13
MiCGT	66
MiCGTb	13
MiCGTb	66
FcCGT/UGT708G1	13
FcCGT/UGT708G1	66
CuCGT/UGT708G2	13
CuCGT/UGT708G2	66
PlUGT43	13
PlUGT43	66
TcCGT1	13
TcCGT1	66
WjGT1/UGT84A57	13
WjGT1/UGT84A57	66
GgCGT/UGT708B4	13
GgCGT/UGT708B4	66
OsCGT2/UGT708A4	13
OsCGT2/UGT708A4	66
OsCGT3/UGT708A2	13
OsCGT3/UGT708A2	66
OsCGT6/UGT708A40	13
OsCGT6/UGT708A40	66
TaCGT1-A/UGT708A14	13
TaCGT1-A/UGT708A14	66
TaCGT1-B/UGT708A52	13
TaCGT1-B/UGT708A52	66
TaCGT1-D/UGT708A53	13
TaCGT1-D/UGT708A53	66
TaCGT2-A/UGT708A15	13
TaCGT2-A/UGT708A15	66
TaCGT2-B/UGT708A54	13
TaCGT2-B/UGT708A54	66
SbCGT1/UGT708A36	13
SbCGT1/UGT708A36	66
SbCGT2/UGT708A35	13
SbCGT2/UGT708A35	66
SbCGT3/UGT708A34	13
SbCGT3/UGT708A34	66
ZmCGT2/UGT708A5	13
ZmCGT2/UGT708A5	66
ZmCGT3/UGT708A11	13
ZmCGT3/UGT708A11	66
ZmCGT4/UGT708A41	13
ZmCGT4/UGT708A41	66
ZmCGT5/UGT708A42	13
ZmCGT5/UGT708A42	66
SiCGT1/UGT708A31	13
SiCGT1/UGT708A31	66
SiCGT2/UGT708A32	13
SiCGT2/UGT708A32	66
SiCGT3/UGT708A33	13
SiCGT3/UGT708A33	66
BdCGT1/UGT708A7	13
BdCGT1/UGT708A7	66
BdCGT2/UGT708A8	13
BdCGT2/UGT708A8	66
PhCGT1/UGT708A43	13
PhCGT1/UGT708A43	66
PhCGT2/UGT708A46	13
PhCGT2/UGT708A46	66
PgCGT1/UGT708A44	13
PgCGT1/UGT708A44	66
PpCGT1/UGT708A45	13
PpCGT1/UGT708A45	66
IroB	13
IroB	66
UrdGT2	13
UrdGT2	66
SsfS6	13
SsfS6	66
DcUGT2	13
DcUGT2	66
UGT85K14	13
UGT85K14	66
UGT74B6	13
UGT74B6	66
UGT712E1	13
UGT712E1	66
PpUGT85A2	13
PpUGT85A2	66
TwUGT2	13
TwUGT2	66
UGT73C11	13
UGT73C11	66
ApUFGT1	13
ApUFGT1	66
ApUFGT2	13
ApUFGT2	66
ApUFGT3	13
ApUFGT3	66
UGT73A17	13
UGT73A17	66
TwUGT1	13
TwUGT1	66
UGT71L2	13
UGT71L2	66
UGT72AY1	13
UGT72AY1	66
UGT73A24	13
UGT73A24	66
UGT73A25	13
UGT73A25	66
UGT85A73	13
UGT85A73	66
UGT74B1	13
UGT74B1	66
UGT74B1 mut H22A	13
UGT74B1 mut H22A	66
UGT74B1 mut D113A	13
UGT74B1 mut D113A	66
OAO89857.1	13
OAO89857.1	66
QCD86231.1	13
QCD86231.1	66
BAG80544.1	13
BAG80544.1	66
ALO19893.1	13
ALO19893.1	66
AQQ16706.1	13
AQQ16706.1	66
AFJ52996.1	13
AFJ52996.1	66
AHX56914.1	13
AHX56914.1	66
BAM28983.1	13
BAM28983.1	66
