enzyme	cid
Nt_UGT1	13
Nt_UGT1	66
Pt_UGT1	13
Pt_UGT1	66
At_72B1	13
At_72B1	66
At_72E2	13
At_72E2	66
Mt_71G1	13
Mt_71G1	66
Mt_78G1	13
Mt_78G1	66
At_76E5	13
At_76E5	66
At_76E4	13
At_76E4	66
At_76E1	13
At_76E1	66
At_76E2	13
At_76E2	66
At_76E12	13
At_76E12	66
At_76E11	13
At_76E11	66
At_85A5	13
At_85A5	66
At_85A4	13
At_85A4	66
At_84A3	13
At_84A3	66
At_84A4	13
At_84A4	66
At_84A2	13
At_84A2	66
At_84A1	13
At_84A1	66
At_84B1	13
At_84B1	66
At_84B2	13
At_84B2	66
At_75B1	13
At_75B1	66
At_75D1	13
At_75D1	66
At_74F1	13
At_74F1	66
At_74F2	13
At_74F2	66
At_74B1	13
At_74B1	66
At_78D2	13
At_78D2	66
At_78D1	13
At_78D1	66
At_71C1	13
At_71C1	66
At_71C2	13
At_71C2	66
At_71C3	13
At_71C3	66
At_71C4	13
At_71C4	66
At_71C5	13
At_71C5	66
At_71B8	13
At_71B8	66
At_71B6	13
At_71B6	66
At_71B5	13
At_71B5	66
At_71B1	13
At_71B1	66
At_88A1	13
At_88A1	66
At_72E3	13
At_72E3	66
At_72E1	13
At_72E1	66
At_72D1	13
At_72D1	66
At_72C1	13
At_72C1	66
At_72B3	13
At_72B3	66
At_73C3	13
At_73C3	66
At_73C4	13
At_73C4	66
At_73C5	13
At_73C5	66
At_73C6	13
At_73C6	66
At_73C1	13
At_73C1	66
At_73C7	13
At_73C7	66
At_73B2	13
At_73B2	66
At_73B3	13
At_73B3	66
At_73B1	13
At_73B1	66
At_73B4	13
At_73B4	66
At_73B5	13
At_73B5	66
At_89B1	13
At_89B1	66
At_89C1	13
At_89C1	66
VVGT1	13
VVGT1	66
At_76C4	13
At_76C4	66
Am_88D3	13
Am_88D3	66
At_71D1	13
At_71D1	66
Bm_88D9	13
Bm_88D9	66
Ct_71E5	13
Ct_71E5	66
Dc_71F5	13
Dc_71F5	66
Fe_71U1	13
Fe_71U1	66
Fe_72AC1	13
Fe_72AC1	66
Fe_72B19	13
Fe_72B19	66
Fe_88J1	13
Fe_88J1	66
Fi_88A10	13
Fi_88A10	66
Gj_71A23	13
Gj_71A23	66
Gj_88F6	13
Gj_88F6	66
Gm_88E3	13
Gm_88E3	66
Lc_71A12	13
Lc_71A12	66
Lc_72B10	13
Lc_72B10	66
Lj_72AG1	13
Lj_72AG1	66
Lj_72L6	13
Lj_72L6	66
Lj_72V3	13
Lj_72V3	66
Lj_72Z2	13
Lj_72Z2	66
Lu_71M1	13
Lu_71M1	66
Lu_71P1	13
Lu_71P1	66
Lu_71Q2	13
Lu_71Q2	66
Lu_72M2	13
Lu_72M2	66
Lu_72Q1	13
Lu_72Q1	66
Lu_88G1	13
Lu_88G1	66
Mt_72L1	13
Mt_72L1	66
Mt_88E1	13
Mt_88E1	66
Nt_71A6	13
Nt_71A6	66
Os_72F1	13
Os_72F1	66
Os_72H3	13
Os_72H3	66
Os_72J1	13
Os_72J1	66
Os_88C1	13
Os_88C1	66
Pf_88D7	13
Pf_88D7	66
Rc_GT1	13
Rc_GT1	66
Sl_GT5	13
Sl_GT5	66
Sr_71E1	13
Sr_71E1	66
Sr_88B1	13
Sr_88B1	66
Vv_88A12	13
Vv_88A12	66
Zm_11344	13
Zm_11344	66
Zm_15991	13
Zm_15991	66
Zm_43295	13
Zm_43295	66
Zm_51683	13
Zm_51683	66
Zm_56026	13
Zm_56026	66
Zm_58314	13
Zm_58314	66
Zm_60993	13
Zm_60993	66
Zm_62783	13
Zm_62783	66
Zm_63550	13
Zm_63550	66
Zm_71B1	13
Zm_71B1	66
Zm_72068	13
Zm_72068	66
Zm_85854	13
Zm_85854	66
UGT71G1	13
UGT71G1	66
UGT78G1	13
UGT78G1	66
OleD	13
OleD	66
UGT72B10	13
UGT72B10	66
UGT74P1	13
UGT74P1	66
UGT73A10	13
UGT73A10	66
UGT74N1	13
UGT74N1	66
UGT75L2	13
UGT75L2	66
UGT85A20	13
UGT85A20	66
UGT73Q1	13
UGT73Q1	66
UGT73A12	13
UGT73A12	66
UGT86A5	13
UGT86A5	66
UGT94E2	13
