enzyme	cid
Nt_UGT1	13
Pt_UGT1	13
At_72B1	13
At_72E2	13
Mt_71G1	13
Mt_78G1	13
At_76E5	13
At_76E4	13
At_76E1	13
At_76E2	13
At_76E12	13
At_76E11	13
At_85A5	13
At_85A4	13
At_84A3	13
At_84A4	13
At_84A2	13
At_84A1	13
At_84B1	13
At_84B2	13
At_75B1	13
At_75D1	13
At_74F1	13
At_74F2	13
At_74B1	13
At_78D2	13
At_78D1	13
At_71C1	13
At_71C2	13
At_71C3	13
At_71C4	13
At_71C5	13
At_71B8	13
At_71B6	13
At_71B5	13
At_71B1	13
At_88A1	13
At_72E3	13
At_72E1	13
At_72D1	13
At_72C1	13
At_72B3	13
At_73C3	13
At_73C4	13
At_73C5	13
At_73C6	13
At_73C1	13
At_73C7	13
At_73B2	13
At_73B3	13
At_73B1	13
At_73B4	13
At_73B5	13
At_89B1	13
At_89C1	13
VVGT1	13
At_76C4	13
Am_88D3	13
At_71D1	13
Bm_88D9	13
Ct_71E5	13
Dc_71F5	13
Fe_71U1	13
Fe_72AC1	13
Fe_72B19	13
Fe_88J1	13
Fi_88A10	13
Gj_71A23	13
Gj_88F6	13
Gm_88E3	13
Lc_71A12	13
Lc_72B10	13
Lj_72AG1	13
Lj_72L6	13
Lj_72V3	13
Lj_72Z2	13
Lu_71M1	13
Lu_71P1	13
Lu_71Q2	13
Lu_72M2	13
Lu_72Q1	13
Lu_88G1	13
Mt_72L1	13
Mt_88E1	13
Nt_71A6	13
Os_72F1	13
Os_72H3	13
Os_72J1	13
Os_88C1	13
Pf_88D7	13
Rc_GT1	13
Sl_GT5	13
Sr_71E1	13
Sr_88B1	13
Vv_88A12	13
Zm_11344	13
Zm_15991	13
Zm_43295	13
Zm_51683	13
Zm_56026	13
Zm_58314	13
Zm_60993	13
Zm_62783	13
Zm_63550	13
Zm_71B1	13
Zm_72068	13
Zm_85854	13
UGT71G1	13
UGT78G1	13
OleD	13
UGT72B10	13
UGT74P1	13
UGT73A10	13
UGT74N1	13
UGT75L2	13
UGT85A20	13
UGT73Q1	13
UGT73A12	13
UGT86A5	13
UGT94E2	13
UGT84C2	13
UGT85B2	13
UGT74H5	13
UGT88C4	13
UGT74H6	13
UGT75E3	13
UGT73B4	13
UGT73C1	13
OsCGT	13
ZmUGT/UGT708A6	13
FeCGTa/UGT708C1	13
FeCGTb/UGT708C2	13
GmCGT/UGT708D1	13
GtUF6CGT1	13
MiCGT	13
MiCGTb	13
FcCGT/UGT708G1	13
CuCGT/UGT708G2	13
PlUGT43	13
TcCGT1	13
WjGT1/UGT84A57	13
GgCGT/UGT708B4	13
OsCGT2/UGT708A4	13
OsCGT3/UGT708A2	13
OsCGT6/UGT708A40	13
TaCGT1-A/UGT708A14	13
TaCGT1-B/UGT708A52	13
TaCGT1-D/UGT708A53	13
TaCGT2-A/UGT708A15	13
TaCGT2-B/UGT708A54	13
SbCGT1/UGT708A36	13
SbCGT2/UGT708A35	13
SbCGT3/UGT708A34	13
ZmCGT2/UGT708A5	13
ZmCGT3/UGT708A11	13
ZmCGT4/UGT708A41	13
ZmCGT5/UGT708A42	13
SiCGT1/UGT708A31	13
SiCGT2/UGT708A32	13
SiCGT3/UGT708A33	13
BdCGT1/UGT708A7	13
BdCGT2/UGT708A8	13
PhCGT1/UGT708A43	13
PhCGT2/UGT708A46	13
PgCGT1/UGT708A44	13
PpCGT1/UGT708A45	13
IroB	13
UrdGT2	13
SsfS6	13
DcUGT2	13
UGT85K14	13
UGT74B6	13
UGT712E1	13
PpUGT85A2	13
TwUGT2	13
UGT73C11	13
ApUFGT1	13
ApUFGT2	13
ApUFGT3	13
UGT73A17	13
TwUGT1	13
UGT71L2	13
UGT72AY1	13
UGT73A24	13
UGT73A25	13
UGT85A73	13
UGT74B1	13
UGT74B1 mut H22A	13
UGT74B1 mut D113A	13
OAO89857.1	13
QCD86231.1	13
BAG80544.1	13
ALO19893.1	13
AQQ16706.1	13
AFJ52996.1	13
AHX56914.1	13
BAM28983.1	13
