enzyme	reaction	cid
At_72B1	0.0	72276
At_72E2	0.0	72276
Mt_71G1	0.0	72276
Mt_78G1	0.0	72276
Nt_UGT1	0.0	72276
Pt_UGT1	0.0	72276
At_71C1	0.0	5912039
At_71D1	0.0	5912039
Ct_71E5	0.0	5912039
Dc_71F5	0.0	5912039
Fe_72B19	0.0	5912039
Fe_88J1	0.0	5912039
Fi_88A10	0.0	5912039
Gm_88E3	0.0	5912039
Lc_72B10	0.0	5912039
Os_88C1	0.0	5912039
Rc_GT1	0.0	5912039
Sl_GT5	0.0	5912039
Zm_15991	0.0	5912039
Zm_43295	0.0	5912039
Zm_51683	0.0	5912039
Zm_62783	0.0	5912039
Zm_72068	0.0	5912039
Zm_85854	0.0	5912039
At_72B1	1.0	27582
At_72E2	1.0	27582
Mt_71G1	0.0	27582
Mt_78G1	0.0	27582
Nt_UGT1	1.0	27582
Pt_UGT1	1.0	27582
At_71C1	0.0	11782
At_71D1	0.0	11782
Ct_71E5	0.0	11782
Dc_71F5	0.0	11782
Fe_72B19	0.0	11782
Fe_88J1	0.0	11782
Fi_88A10	0.0	11782
Gm_88E3	0.0	11782
Lc_72B10	0.0	11782
Os_88C1	0.0	11782
Rc_GT1	0.0	11782
Sl_GT5	0.0	11782
Zm_15991	0.0	11782
Zm_43295	0.0	11782
Zm_51683	0.0	11782
Zm_62783	0.0	11782
Zm_72068	0.0	11782
Zm_85854	0.0	11782
At_71C1	0.0	7041
At_72B1	1.0	7041
At_72E2	1.0	7041
Ct_71E5	0.0	7041
Dc_71F5	1.0	7041
Fe_72B19	1.0	7041
Fe_88J1	0.0	7041
Fi_88A10	0.0	7041
Gm_88E3	0.0	7041
Lc_72B10	1.0	7041
Mt_78G1	0.0	7041
Nt_UGT1	1.0	7041
Os_88C1	0.0	7041
Pt_UGT1	1.0	7041
Rc_GT1	0.0	7041
Sl_GT5	1.0	7041
Zm_15991	1.0	7041
Zm_43295	0.0	7041
Zm_51683	0.0	7041
Zm_62783	0.0	7041
Zm_72068	0.0	7041
Zm_85854	0.0	7041
At_71C1	0.0	7257
At_71D1	0.0	7257
At_72B1	1.0	7257
At_72E2	0.0	7257
Ct_71E5	0.0	7257
