cid	MDS_01	MDS_02	MDS_03	MDS_04	MDS_05	MDS_06	MDS_07	MDS_08	MDS_09	MDS_10	MDS_11	MDS_12	SESA	MolecularWeight	smiles	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	AtomStereoCount	BondStereoCount	NumValenceElectrons	NumHeteroatoms	MinPartialCharge	MaxPartialCharge	MinAbsPartialCharge	MaxAbsPartialCharge	HallKierAlpha	LabuteASA	NumRings	NumAmideBonds	NumBridgeheadAtoms	NumHeterocycles	NumLipinskiHBA	NumLipinskiHBD	NumSpiroAtoms	NumAliphaticRings	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAromaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	FractionCSP3	Eccentricity	Asphericity	InertialShapeFactor	NPR1	NPR2	SpherocityIndex	RadiusOfGyration	MolLogP	MolMR	HeavyAtomCount_2	VanDerWaalsVolume	SASA	C_O	C_O_noCOO	Al_OH	Ar_OH	methoxy	oxime	ester	Al_COO	Ar_COO	COO	COO2	ketone	ether	phenol	aldehyde	quatN	NH2	NH1	NH0	Ar_N	Ar_NH	aniline	Imine	nitrile	hdrzine	hdrzone	nitroso	N_O	nitro	azo	diazo	azide	amide	priamide	amidine	guanido	Nhpyrrole	imide	isocyan	isothiocyan	thiocyan	halogen	alkyl_halide	sulfide	SH	C_S	sulfone	sulfonamd	prisulfonamd	barbitur	urea	term_acetylene	imidazole	furan	thiophene	thiazole	oxazole	pyridine	piperdine	piperzine	morpholine	lactam	lactone	tetrazole	epoxide	unbrch_alkane	bicyclic	benzene	phos_acid	phos_ester	nitro_arom	nitro_arom_nonortho	dihydropyridine	phenol_noOrthoHbond	Al_OH_noTert	benzodiazepine	para_hydroxylation	allylic_oxid	aryl_methyl	Ndealkylation1	Ndealkylation2	alkyl_carbamate	ketone_Topliss	ArN	HOCCN	primary_alcohol	secondary_alcohol	tertiary_alcohol	coumarin	thiophenol	hydroxyamino	SolventExcludedVolume	VoidVolume	PackingDensity
5375469	0.41115458735341703	-0.13206138952149077	-0.6094153727805283	0.12380447037685843	-0.24471016673650067	-0.37599337739756916	0.1444642086555758	-0.4595269343874209	0.19417157614355463	0.01277783112689764	-0.10526686078344587	-0.33261825283501284	207.861	213.15	CC1=C(C=C(C=C1[N+](=O)[O-])NO)[N+](=O)[O-]	124.0	236	0	2	6	1	15	0	0	80	8	-0.29108909795968374	0.2808383338233905	0.2808383338233905	0.29108909795968374	-2.22	93.37995150571544	1	0	0	0	8	2	0	0	0	0	1	1	0	0	0	0	0.14285714285714285	0.8911403465337897	0.24188278925962206	0.000759780869088327	0.45372776284864624	0.5713641869823357	0.05836406464225352	2.8059529195091124	1.6125199999999997	49.897000000000006	15	166.748	216.07249041776709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	173.695	6.947	0.960
5379033	0.14670553560767496	0.9950033284883143	0.09420205464564584	2.67527204002833	0.13083548622495697	0.5687958464645599	-0.14097315833482355	0.8393156204106429	-0.5334128453865677	-0.07252950158860794	0.5233255654179477	-0.32522329343632345	368.741	326.4	CC=CC1=CC2=C(C(=C1)OC)OC(C2C)C3=CC(=C(C=C3)O)OC	47.9	437	0	1	4	4	24	2	1	126	4	-0.5042545789615577	0.2932937417327568	0.2932937417327568	0.5042545789615577	-2.6199999999999997	172.84349075755605	3	0	0	1	4	1	0	1	0	1	2	2	0	0	0	0	0.3	0.9553789873780867	0.366278657678918	0.0007063660275238928	0.2953827863576715	0.9386169576621974	0.3455698290389462	3.9236793937272596	4.679700000000005	94.14480000000006	24	305.873	420.0188517839411	0	0	0	1	2	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	9	9	0	0	0	0	324.968	19.095	0.941
5379096	0.28228512399186584	2.51236604741892	1.0455752949070836	1.6532427110219299	0.514458025124877	-1.2212592936337126	0.5255119876726179	-0.1521562845282738	0.8416613563901737	1.0247867137268039	-0.43271799328628796	0.04703778932451105	325.203	330.29	COC1=C(C=CC(=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)OC)O)O	105.0	505	0	3	7	3	24	0	0	124	7	-0.5042543187379498	0.29332216158404806	0.29332216158404806	0.5042543187379498	-3.3500000000000005	155.40577450247505	3	0	0	1	7	3	0	0	0	0	3	2	1	0	0	0	0.11764705882352941	0.9865081021970817	0.5886592506127543	0.0009243494922017893	0.16371244393604314	0.844666105110342	0.029689862935272374	4.119479500196716	2.594000000000001	86.01840000000004	24	273.059	358.3570216040018	0	0	0	3	2	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	285.399	12.340	0.957
5398649	1.116230748829838	2.074157127711464	-0.06546032373311272	-0.6480718144809628	0.20663977831585845	-0.5756637514986057	-0.20782213805757843	-0.6474596216038584	0.16280825336493998	0.08357396124657565	0.03651721538570729	0.275494168403148	252.519	254.24	C1=CC=C(C=C1)C2=CC(=O)OC3=CC(=CC(=C23)O)O	66.8	384	0	2	4	1	19	0	0	94	4	-0.5076781820591699	0.3363286711138541	0.3363286711138541	0.5076781820591699	-2.7499999999999996	121.94801380367359	3	0	0	1	4	2	0	0	0	0	3	2	1	0	0	0	0.0	0.9290880356448988	0.27979258670375007	0.0007981067169585223	0.3698586514082148	0.6938000490028446	0.1807905190374313	3.08851655648474	2.8712000000000018	71.24960000000002	19	213.430	282.4867789783757	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	223.590	10.161	0.955
5413034	0.7933212534697288	1.8513778652731543	0.06797813991095093	-0.6365068675019295	-0.11620867419542977	-0.688553508958287	0.10911605154654326	-0.5578173637435873	0.6023940846053444	-0.0845889373160824	0.06972002726731157	0.1750035038619634	248.035	254.24	C1=CC=C(C=C1)C2=CC(=O)OC3=C2C=CC(=C3O)O	66.8	384	0	2	4	1	19	0	0	94	4	-0.5041604439773247	0.336456984441156	0.336456984441156	0.5041604439773247	-2.7499999999999996	121.9480138036736	3	0	0	1	4	2	0	0	0	0	3	2	1	0	0	0	0.0	0.9516786793563992	0.351320816885305	0.0009395502132503731	0.3070955734921294	0.7373565085562724	0.1255788144929315	3.20547695648238	2.871200000000001	71.24960000000002	19	213.957	278.3538775332979	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	222.116	8.159	0.963
5460358	0.17745176216773048	-1.0730017395908102	-1.0810531635311136	-0.6440848477727948	0.5824123466837755	-0.606416146994857	0.2899570255179142	0.16018353017474027	0.1277244190707361	0.39175580235733615	-0.13652675336545644	0.3496880908996931	121.635	105.07	C(C(C(=O)[O-])O)O	80.6	63	-1	2	4	1	7	1	0	42	4	-0.547223587319702	0.2111190764718735	0.2111190764718735	0.547223587319702	-0.6100000000000001	47.21155163034811	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0.6666666666666666	0.9452018774063166	0.3186486086033701	0.0070524855340546805	0.32648646365136574	0.7836857412275792	0.4282546800456052	1.8487318888988906	-2.910499999999999	18.099600000000002	7	87.404	128.2795186615197	1	1	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	92.234	4.830	0.948
5464170	0.41104231429020777	1.8278934624673815	0.905476374503694	1.5285184056049805	0.42732115442074087	-1.1324062672862358	0.5294421572730296	-0.1932135094777642	0.5234110331718621	0.8290108986570325	-0.3497387463518662	0.06501570488587312	362.456	360.3	COC1=CC(=CC(=C1OC)O)C2=COC3=C(C2=O)C(=C(C(=C3)O)OC)O	115.0	549	0	3	8	4	26	0	0	136	8	-0.5041413590236388	0.29332216454873916	0.29332216454873916	0.5041413590236388	-3.5500000000000003	169.6942028467142	3	0	0	1	8	3	0	0	0	0	3	2	1	0	0	0	0.16666666666666666	0.987949075312079	0.6060827167207209	0.0009097727451137608	0.15477927700441058	0.8904532970418523	0.07913738317025336	4.236391410528631	2.602600000000001	92.57040000000002	26	298.468	402.6186038295763	0	0	0	3	3	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	316.037	17.569	0.944
5484169	0.4138254330320208	-0.13214543914975788	-0.6141511980108658	0.121953884508253	-0.2389276064917573	-0.3807112783850517	0.1432624527515222	-0.46468181123589486	0.20789831260866495	0.0009795872105746815	-0.10870372788400062	-0.3513481190245029	205.751	213.15	CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])NO	124.0	260	0	2	6	1	15	0	0	80	8	-0.29107965436502253	0.2808289372805992	0.2808289372805992	0.29107965436502253	-2.2199999999999998	93.37995150571545	1	0	0	0	8	2	0	0	0	0	1	1	0	0	0	0	0.14285714285714285	0.9027343098133973	0.25803135616698974	0.0008009463722022634	0.43019851915799195	0.5820611567654148	0.035508262982865045	2.8237971708701957	1.6125200000000002	49.897000000000006	15	166.578	213.4661132996399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	172.932	6.354	0.963
5497136	-0.12018811007597552	-1.8641428038996664	-1.0141340238134302	-0.32205702469008957	1.097688800068605	-1.4029556306917135	0.7801445370434296	0.2860892963191743	-0.4232000431041559	0.36343954120774297	0.5582514057226934	0.43680060159199185	464.508	341.5	CCCCCCCCCCCCCC=CC(C(CO)NC(=O)C)O	69.6	318	0	3	3	16	24	2	1	142	4	-0.394123640101484	0.21676999829877303	0.21676999829877303	0.394123640101484	-0.8700000000000001	203.30864661226207	0	1	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0.85	0.9936316125205336	0.7014243458558059	0.0008359478157566474	0.11267749819659775	0.9584843812430105	0.16174982076785793	5.554668160440619	4.101600000000004	100.91530000000006	24	369.411	543.4040289787065	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	6	0	0	0	0	403.264	33.852	0.916
5912039	0.898777497190725	-0.7213342463529556	0.4756327624542256	0.07164343499212532	-0.9551597320037946	0.4187718684652662	-0.24850829661404075	-0.4912064635660802	-0.042649823237492133	-0.6359936279644853	0.4527778246782885	-0.10060554875922505	268.277	242.32	CC=C1C2CC3=C(C1(CC(=C2)C)N)C=CC(=O)N3	55.1	551	0	2	2	0	18	2	1	94	3	-0.3258371223360675	0.24763001530854506	0.24763001530854506	0.3258371223360675	-1.6099999999999999	131.87465556977466	3	0	2	1	3	3	0	2	2	0	1	0	1	0	0	0	0.4	0.9017215351552899	0.2033271528353416	0.001266019169479861	0.43231732909656445	0.9073746788314223	0.6322240539282691	2.8290445759214236	1.9975	72.25310000000002	18	228.885	314.97362895710245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	243.843	14.957	0.939
